MatchDate,Team1,Team2,Venue,Toss_Winner,Toss_Decision,Match_Result
2005-11-03,Sri Lanka,India,Nehru Stadium,India,field,India
2023-05-14,Bangladesh,Ireland,"County Ground, Chelmsford",Ireland,field,Bangladesh
2022-11-19,Australia,England,Sydney Cricket Ground,Australia,bat,Australia
2024-03-18,Sri Lanka,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Sri Lanka,bat,Bangladesh
2005-06-25,Bangladesh,Australia,Old Trafford,Australia,field,Australia
2022-07-16,West Indies,Bangladesh,"Providence Stadium, Guyana",Bangladesh,field,Bangladesh
2013-05-26,Ireland,Pakistan,Clontarf Cricket Club Ground,Pakistan,field,Pakistan
2018-01-23,Bangladesh,Zimbabwe,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Bangladesh
2003-03-23,Australia,India,"New Wanderers Stadium, Johannesburg",India,field,Australia
2008-04-11,Pakistan,Bangladesh,Iqbal Stadium,Bangladesh,bat,Pakistan
2018-09-23,Pakistan,India,Dubai International Cricket Stadium,Pakistan,bat,India
2023-09-13,England,New Zealand,"Kennington Oval, London",New Zealand,field,England
2014-09-08,Ireland,Scotland,"The Village, Malahide",Ireland,field,Ireland
2018-10-23,Sri Lanka,England,"R.Premadasa Stadium, Khettarama",Sri Lanka,bat,Sri Lanka
2012-03-04,Australia,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",Australia,bat,Australia
2014-12-10,Sri Lanka,England,Pallekele International Cricket Stadium,England,field,England
2006-10-16,New Zealand,South Africa,Brabourne Stadium,South Africa,field,New Zealand
2018-10-26,Zimbabwe,Bangladesh,Zahur Ahmed Chowdhury Stadium,Bangladesh,field,Bangladesh
2009-11-08,India,Australia,Nehru Stadium,India,bat,Australia
2014-05-09,Scotland,England,Mannofield Park,Scotland,field,England
2007-03-21,Bangladesh,Sri Lanka,"Queen's Park Oval, Port of Spain",Bangladesh,field,Sri Lanka
2014-08-21,England,India,North Marine Road Ground,England,field,England
2009-07-30,Sri Lanka,Pakistan,Rangiri Dambulla International Stadium,Pakistan,field,Sri Lanka
2007-10-11,India,Australia,Reliance Stadium,India,bat,Australia
2007-08-25,Zimbabwe,South Africa,Harare Sports Club,South Africa,field,South Africa
2006-06-13,Ireland,England,"Civil Service Cricket Club, Stormont",England,bat,England
2013-02-08,Australia,West Indies,Sydney Cricket Ground,West Indies,bat,Australia
2023-06-18,West Indies,United States of America,"Takashinga Sports Club, Highfield, Harare",United States of America,field,West Indies
2007-10-20,Pakistan,South Africa,Gaddafi Stadium,Pakistan,bat,Pakistan
2021-09-06,Papua New Guinea,United States of America,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Papua New Guinea,bat,United States of America
2006-01-31,South Africa,Sri Lanka,Western Australia Cricket Association Ground,Sri Lanka,bat,South Africa
2016-02-24,South Africa,West Indies,Buffalo Park,West Indies,bat,West Indies
2023-09-14,South Africa,Pakistan,"National Stadium, Karachi",South Africa,bat,Pakistan
2009-03-08,New Zealand,India,AMI Stadium,New Zealand,field,India
2011-03-23,Pakistan,West Indies,Shere Bangla National Stadium,West Indies,bat,Pakistan
2006-05-13,West Indies,Zimbabwe,"Queen's Park Oval, Port of Spain",West Indies,bat,No Result
2021-09-16,United States of America,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Oman
2024-07-22,Oman,Scotland,"Forthill, Dundee",Scotland,field,Scotland
2023-07-07,West Indies,Sri Lanka,Harare Sports Club,Sri Lanka,field,Sri Lanka
2022-03-08,Pakistan,Australia,"Bay Oval, Mount Maunganui",Australia,field,Australia
2022-08-22,Netherlands,Ireland,"VRA Ground, Amstelveen",Ireland,field,Ireland
2009-02-08,Sri Lanka,India,R Premadasa Stadium,Sri Lanka,bat,Sri Lanka
2024-08-11,Papua New Guinea,Scotland,"VRA Ground, Amstelveen",Scotland,field,Scotland
2012-07-31,Sri Lanka,India,R Premadasa Stadium,Sri Lanka,bat,India
2008-11-20,India,England,Green Park,England,bat,India
2008-05-08,Sri Lanka,India,Welagedara Stadium,Sri Lanka,bat,India
2018-03-12,Zimbabwe,Scotland,Queens Sports Club,Zimbabwe,bat,No Result
2021-06-04,Netherlands,Ireland,"Sportpark Maarschalkerweerd, Utrecht",Netherlands,bat,Ireland
2003-02-10,Zimbabwe,Namibia,Harare Sports Club,Namibia,field,Zimbabwe
2022-09-25,New Zealand,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",New Zealand,bat,West Indies
2017-07-23,England,India,Lord's,England,bat,England
2014-08-30,Sri Lanka,Pakistan,Rangiri Dambulla International Stadium,Pakistan,bat,Sri Lanka
2003-05-11,Pakistan,New Zealand,Rangiri Dambulla International Stadium,New Zealand,field,New Zealand
2004-09-10,New Zealand,United States of America,Kennington Oval,United States of America,field,New Zealand
2013-06-12,Australia,New Zealand,Edgbaston,Australia,bat,No Result
2024-06-26,New Zealand,England,"Riverside Ground, Chester-le-Street",New Zealand,bat,England
2012-03-20,West Indies,Australia,"Arnos Vale Ground, Kingstown",Australia,bat,No Result
2006-09-05,England,Pakistan,The Rose Bowl,Pakistan,field,Pakistan
2009-08-01,Sri Lanka,Pakistan,Rangiri Dambulla International Stadium,Sri Lanka,field,Sri Lanka
2019-04-16,Zimbabwe,United Arab Emirates,Harare Sports Club,United Arab Emirates,bat,Zimbabwe
2015-03-14,India,Zimbabwe,Eden Park,India,field,India
2013-11-03,Bangladesh,New Zealand,Khan Shaheb Osman Ali Stadium,Bangladesh,field,Bangladesh
2011-10-25,Zimbabwe,New Zealand,Queens Sports Club,New Zealand,bat,Zimbabwe
2007-06-24,Ireland,South Africa,"Civil Service Cricket Club, Stormont",Ireland,field,South Africa
2013-01-27,India,England,Himachal Pradesh Cricket Association Stadium,England,field,England
2013-01-19,India,England,JSCA International Stadium Complex,India,field,India
2012-03-25,West Indies,Australia,"Beausejour Stadium, Gros Islet",West Indies,field,Australia
2022-01-16,Zimbabwe,Sri Lanka,Pallekele International Cricket Stadium,Zimbabwe,bat,Sri Lanka
2006-12-09,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Bangladesh,field,Bangladesh
2024-12-02,Ireland,Bangladesh,"Shere Bangla National Stadium, Mirpur",Ireland,bat,Bangladesh
2014-01-28,New Zealand,India,Seddon Park,India,bat,New Zealand
2017-01-30,New Zealand,Australia,Eden Park,Australia,field,New Zealand
2015-12-26,New Zealand,Sri Lanka,Hagley Oval,Sri Lanka,bat,New Zealand
2008-06-25,England,New Zealand,Kennington Oval,New Zealand,field,New Zealand
2014-03-04,Bangladesh,Pakistan,Shere Bangla National Stadium,Bangladesh,bat,Pakistan
2008-06-29,Canada,Bermuda,Maple Leaf North-West Ground,Canada,field,Bermuda
2023-06-26,West Indies,Ireland,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",West Indies,bat,West Indies
2006-05-23,West Indies,India,"Warner Park, Basseterre",India,bat,West Indies
2024-11-09,Netherlands,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,field,Netherlands
2019-01-31,New Zealand,India,Seddon Park,New Zealand,field,New Zealand
2013-01-23,India,England,"Punjab Cricket Association Stadium, Mohali",India,field,India
2005-07-02,Australia,England,Lord's,England,field,No Result
2004-02-25,South Africa,New Zealand,Carisbrook,New Zealand,field,New Zealand
2023-09-02,India,Pakistan,Pallekele International Cricket Stadium,India,bat,No Result
2021-09-13,West Indies,South Africa,"Coolidge Cricket Ground, Antigua",South Africa,field,South Africa
2019-12-22,India,West Indies,Barabati Stadium,India,field,India
2007-06-10,Africa XI,Asia XI,"MA Chidambaram Stadium, Chepauk",Asia XI,bat,Asia XI
2024-04-11,United States of America,Papua New Guinea,"ICC Academy, Dubai",United States of America,bat,Papua New Guinea
2024-09-19,England,Australia,"Trent Bridge, Nottingham",England,bat,Australia
2021-09-07,Sri Lanka,South Africa,"R Premadasa Stadium, Colombo",Sri Lanka,bat,Sri Lanka
2023-12-15,Pakistan,New Zealand,"Hagley Oval, Christchurch",New Zealand,field,New Zealand
2006-02-10,Australia,Sri Lanka,Adelaide Oval,Sri Lanka,bat,Sri Lanka
2016-06-03,West Indies,South Africa,Providence Stadium,South Africa,bat,West Indies
2023-04-01,Canada,United Arab Emirates,"Wanderers Cricket Ground, Windhoek",Canada,bat,United Arab Emirates
2019-01-19,South Africa,Pakistan,St George's Park,South Africa,bat,Pakistan
2019-08-14,West Indies,India,"Queen's Park Oval, Trinidad",West Indies,bat,India
2003-02-28,Zimbabwe,Netherlands,"Queens Sports Club, Bulawayo",Netherlands,field,Zimbabwe
2012-02-14,India,Sri Lanka,Adelaide Oval,Sri Lanka,bat,No Result
2022-02-06,West Indies,South Africa,"The Wanderers Stadium, Johannesburg",West Indies,bat,South Africa
2010-03-06,New Zealand,Australia,Eden Park,Australia,bat,Australia
2022-06-17,South Africa,Ireland,"Castle Avenue, Dublin",South Africa,bat,South Africa
2017-03-04,New Zealand,South Africa,Eden Park,South Africa,field,South Africa
2022-03-26,Nepal,Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,bat,Papua New Guinea
2006-09-16,Australia,India,Kinrara Academy Oval,Australia,bat,No Result
2016-08-18,Ireland,Pakistan,"The Village, Malahide",Ireland,field,Pakistan
2003-03-01,Pakistan,India,"SuperSport Park, Centurion",Pakistan,bat,India
2022-07-24,South Africa,England,"Headingley, Leeds",South Africa,bat,No Result
2021-03-26,New Zealand,Bangladesh,Basin Reserve,New Zealand,bat,New Zealand
2010-07-16,Ireland,Bangladesh,"Civil Service Cricket Club, Stormont",Ireland,bat,Bangladesh
2004-09-05,India,England,Lord's,India,bat,India
2007-03-22,Canada,New Zealand,"Beausejour Stadium, Gros Islet",Canada,field,New Zealand
2016-01-12,Australia,India,Western Australia Cricket Association Ground,India,bat,Australia
2007-10-04,Sri Lanka,England,Rangiri Dambulla International Stadium,England,bat,England
2024-03-03,United Arab Emirates,Scotland,Dubai International Cricket Stadium,Scotland,field,Scotland
2014-08-23,Australia,Pakistan,Peter Burge Oval,Australia,field,Australia
2009-04-01,Ireland,Scotland,Willowmoore Park,Ireland,field,Ireland
2010-06-15,Sri Lanka,Pakistan,Rangiri Dambulla International Stadium,Sri Lanka,bat,Sri Lanka
2024-09-18,Nepal,Oman,"Maple Leaf North-West Ground, King City",Oman,field,Oman
2007-11-05,India,Pakistan,Nehru Stadium,Pakistan,bat,India
2018-01-21,England,Australia,Sydney Cricket Ground,Australia,field,England
2024-02-23,Namibia,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,field,Namibia
2020-02-09,South Africa,England,The Wanderers Stadium,England,field,England
2008-06-10,India,Pakistan,Shere Bangla National Stadium,India,bat,India
2019-10-14,India,South Africa,Reliance Stadium,India,bat,India
2017-10-18,Sri Lanka,Pakistan,Sheikh Zayed Stadium,Sri Lanka,bat,Pakistan
2019-05-21,Scotland,Sri Lanka,"Grange Cricket Club, Raeburn Place",Scotland,field,Sri Lanka
2010-01-31,Australia,Pakistan,Western Australia Cricket Association Ground,Pakistan,bat,Australia
2022-03-20,Bangladesh,South Africa,"The Wanderers Stadium, Johannesburg",Bangladesh,bat,South Africa
2020-10-30,Pakistan,Zimbabwe,Rawalpindi Cricket Stadium,Pakistan,bat,Pakistan
2012-06-23,Ireland,Australia,"Civil Service Cricket Club, Stormont",Australia,field,No Result
2022-03-16,Papua New Guinea,Nepal,Sharjah Cricket Stadium,Papua New Guinea,bat,Nepal
2019-07-05,Bangladesh,Pakistan,Lord's,Pakistan,bat,Pakistan
2016-12-04,Australia,New Zealand,Sydney Cricket Ground,Australia,bat,Australia
2006-03-10,South Africa,Australia,Kingsmead,South Africa,bat,Australia
2011-08-25,Ireland,England,Clontarf Cricket Club Ground,Ireland,field,England
2023-06-09,United Arab Emirates,West Indies,Sharjah Cricket Stadium,United Arab Emirates,bat,West Indies
2006-02-13,Pakistan,India,Gaddafi Stadium,India,field,India
2005-08-31,Sri Lanka,Bangladesh,Sinhalese Sports Club Ground,Bangladesh,field,Sri Lanka
2018-09-18,India,Hong Kong,Dubai International Cricket Stadium,Hong Kong,field,India
2020-02-05,Nepal,Oman,Tribhuvan University International Cricket Ground,Nepal,field,Oman
2022-08-18,Netherlands,Pakistan,"Hazelaarweg, Rotterdam",Netherlands,bat,Pakistan
2008-06-24,West Indies,Australia,"Arnos Vale Ground, Kingstown",West Indies,field,Australia
2005-11-28,South Africa,India,Wankhede Stadium,India,field,India
2023-08-30,Pakistan,Nepal,Multan Cricket Stadium,Pakistan,bat,Pakistan
2003-04-04,Sri Lanka,Pakistan,Sharjah Cricket Association Stadium,Sri Lanka,bat,Pakistan
2015-02-25,Ireland,United Arab Emirates,"Brisbane Cricket Ground, Woolloongabba",Ireland,field,Ireland
2009-11-09,New Zealand,Pakistan,Sheikh Zayed Stadium,New Zealand,bat,New Zealand
2019-03-29,Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,field,Australia
2020-03-06,Bangladesh,Zimbabwe,Sylhet International Cricket Stadium,Zimbabwe,field,Bangladesh
2014-08-27,England,India,Sophia Gardens,England,field,India
2011-03-18,Ireland,Netherlands,Eden Gardens,Ireland,field,Ireland
2022-07-11,South Africa,England,"County Ground, Northampton",South Africa,bat,England
2022-06-14,Ireland,South Africa,"Castle Avenue, Dublin",South Africa,field,South Africa
2022-03-19,India,Australia,"Eden Park, Auckland",Australia,field,Australia
2007-10-26,Pakistan,South Africa,Multan Cricket Stadium,Pakistan,bat,South Africa
2018-07-14,England,India,Lord's,England,bat,England
2011-02-06,Sri Lanka,West Indies,Sinhalese Sports Club Ground,West Indies,field,Sri Lanka
2003-10-26,India,Australia,"Captain Roop Singh Stadium, Gwalior",India,bat,India
2019-03-31,Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,field,Australia
2010-02-09,Australia,West Indies,Adelaide Oval,West Indies,bat,Australia
2013-09-16,England,Australia,The Rose Bowl,Australia,bat,Australia
2016-10-05,Pakistan,West Indies,Sheikh Zayed Stadium,Pakistan,bat,Pakistan
2008-10-17,Ireland,Zimbabwe,Gymkhana Club Ground,Zimbabwe,bat,Zimbabwe
2017-10-01,Australia,India,"Vidarbha Cricket Association Stadium, Jamtha",Australia,bat,India
2015-07-15,Bangladesh,South Africa,Zahur Ahmed Chowdhury Stadium,South Africa,bat,Bangladesh
2019-02-27,West Indies,England,"National Cricket Stadium, Grenada",West Indies,field,England
2013-07-28,Sri Lanka,South Africa,Pallekele International Cricket Stadium,South Africa,bat,Sri Lanka
2024-08-05,Papua New Guinea,Netherlands,"Sportpark Maarschalkerweerd, Utrecht",Netherlands,field,Netherlands
2017-06-04,India,Pakistan,Edgbaston,Pakistan,field,India
2012-03-16,West Indies,Australia,"Arnos Vale Ground, Kingstown",Australia,bat,Australia
2008-09-03,Australia,Bangladesh,Marrara Cricket Ground,Bangladesh,bat,Australia
2003-02-16,Netherlands,England,"Buffalo Park, East London",England,field,England
2023-10-12,West Indies,Australia,"Junction Oval, Melbourne",Australia,field,No Result
2015-04-22,Bangladesh,Pakistan,Shere Bangla National Stadium,Pakistan,bat,Bangladesh
2007-12-16,Australia,New Zealand,Sydney Cricket Ground,New Zealand,bat,No Result
2009-06-26,West Indies,India,"Sabina Park, Kingston",India,bat,India
2020-02-09,Nepal,Oman,Tribhuvan University International Cricket Ground,Oman,field,Oman
2007-10-10,Sri Lanka,England,R Premadasa Stadium,Sri Lanka,bat,England
2007-06-26,India,South Africa,"Civil Service Cricket Club, Stormont",South Africa,field,South Africa
2009-09-29,England,New Zealand,New Wanderers Stadium,New Zealand,field,New Zealand
2010-06-22,Sri Lanka,India,Rangiri Dambulla International Stadium,Sri Lanka,field,Sri Lanka
2019-01-18,Australia,India,Melbourne Cricket Ground,India,field,India
2013-06-30,West Indies,India,"Sabina Park, Kingston",West Indies,field,West Indies
2021-11-26,Namibia,Oman,"Wanderers Cricket Ground, Windhoek",Oman,field,Namibia
2016-02-07,Australia,India,Bellerive Oval,Australia,bat,India
2017-05-07,India,Ireland,North-West University No1 Ground,India,field,India
2013-07-16,West Indies,Pakistan,Providence Stadium,Pakistan,field,West Indies
2023-09-15,South Africa,Australia,"SuperSport Park, Centurion",Australia,field,South Africa
2007-03-13,West Indies,Pakistan,"Sabina Park, Kingston",Pakistan,field,West Indies
2015-07-11,Sri Lanka,Pakistan,Rangiri Dambulla International Stadium,Pakistan,field,Pakistan
2016-12-31,New Zealand,Bangladesh,Saxton Oval,Bangladesh,bat,New Zealand
2014-01-23,Netherlands,Kenya,Bert Sutcliffe Oval,Kenya,field,Kenya
2012-12-08,Bangladesh,West Indies,Shere Bangla National Stadium,Bangladesh,field,Bangladesh
2023-03-25,Netherlands,Zimbabwe,Harare Sports Club,Netherlands,bat,Zimbabwe
2010-12-01,India,New Zealand,Sawai Mansingh Stadium,India,field,India
2007-02-07,South Africa,Pakistan,Kingsmead,Pakistan,bat,Pakistan
2018-02-10,India,South Africa,The Wanderers Stadium,India,bat,South Africa
2014-03-02,India,Pakistan,Shere Bangla National Stadium,Pakistan,field,Pakistan
2009-03-11,New Zealand,India,Seddon Park,New Zealand,bat,India
2015-06-09,England,New Zealand,Edgbaston,New Zealand,field,England
2004-03-19,India,Pakistan,Arbab Niaz Stadium,Pakistan,field,Pakistan
2017-12-17,Sri Lanka,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,field,India
2018-07-13,England,New Zealand,Grace Road,England,bat,New Zealand
2018-10-27,West Indies,India,Maharashtra Cricket Association Stadium,India,field,West Indies
2012-03-13,India,Sri Lanka,Shere Bangla National Stadium,Sri Lanka,field,India
2010-11-07,Australia,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",Sri Lanka,bat,Australia
2014-02-25,Pakistan,Sri Lanka,Khan Shaheb Osman Ali Stadium,Sri Lanka,bat,Sri Lanka
2015-03-03,Ireland,South Africa,Manuka Oval,South Africa,bat,South Africa
2006-05-26,West Indies,India,"Queen's Park Oval, Port of Spain",West Indies,field,West Indies
2006-02-22,New Zealand,West Indies,Queenstown Events Centre,New Zealand,field,New Zealand
2010-01-08,Bangladesh,Sri Lanka,Shere Bangla National Stadium,Sri Lanka,field,Sri Lanka
2010-07-12,England,Bangladesh,Edgbaston,Bangladesh,field,England
2011-01-23,South Africa,India,SuperSport Park,India,field,South Africa
2015-01-28,South Africa,West Indies,SuperSport Park,West Indies,field,South Africa
2021-03-23,Bangladesh,New Zealand,Hagley Oval,New Zealand,field,New Zealand
2024-02-03,South Africa,Australia,Adelaide Oval,Australia,field,Australia
2003-02-13,New Zealand,West Indies,"St George's Park, Port Elizabeth",West Indies,field,New Zealand
2014-10-07,Australia,Pakistan,Sharjah Cricket Stadium,Australia,bat,Australia
2007-01-26,Australia,England,Adelaide Oval,England,bat,Australia
2017-07-06,Sri Lanka,Zimbabwe,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,field,Sri Lanka
2013-05-31,England,New Zealand,Lord's,New Zealand,field,New Zealand
2022-10-11,South Africa,India,"Arun Jaitley Stadium, Delhi",India,field,India
2023-12-06,West Indies,England,"Sir Vivian Richards Stadium, North Sound, Antigua",England,field,England
2003-10-03,Pakistan,South Africa,"Gaddafi Stadium, Lahore",Pakistan,bat,Pakistan
2024-09-09,England,Ireland,"Civil Service Cricket Club, Stormont, Belfast",England,bat,England
2005-02-02,England,South Africa,Mangaung Oval,South Africa,field,No Result
2019-01-26,New Zealand,India,Bay Oval,India,bat,India
2017-03-05,New Zealand,Australia,Bay Oval,Australia,field,Australia
2018-01-11,United Arab Emirates,Ireland,ICC Academy,Ireland,field,Ireland
2009-04-09,South Africa,Australia,Newlands,South Africa,bat,South Africa
2019-08-08,West Indies,India,"Providence Stadium, Guyana",India,field,No Result
2022-03-09,West Indies,England,"University Oval, Dunedin",West Indies,bat,West Indies
2013-12-08,South Africa,India,Kingsmead,India,field,South Africa
2022-11-26,Netherlands,Thailand,Royal Chiangmai Golf Club,Netherlands,bat,Thailand
2024-06-16,India,South Africa,"M Chinnaswamy Stadium, Bengaluru",India,bat,India
